Name	Set	ImageFile	Type	traits	victorypoints	cost	expense	text	flavor	illustrator
Bulk Hauling	beowulf	01002.png	Adventure Card	"Freight, Mercantile"	4	NULL	NULL	NULL	A large delivery assignment	Leonardo Calamati
Down the Main	beowulf	01003.png	Adventure Card	"Freight, Spacehand"	2	NULL	NULL	NULL	"Hauling cargo, world by world, down a Jump-1 route."	"Leonardo Calamati, Traveller Map"
Group Package	beowulf	01004.png	Adventure Card	"Amiable, Mercantile, Transport"	3	NULL	NULL	NULL	See the wondrous Crystal Pyramids of Xa'rel Nordh!	Leonardo Calamati
Humanitarian Evacuation	beowulf	01005.png	Adventure Card	"Altruistic, Priority, Warfare"	4	NULL	NULL	NULL	"In the midst of a civil war, refugees seek a new home."	Leonardo Calamati
Mid Passage Mark	beowulf	01006.png	Adventure Card	Milk Run	2	NULL	NULL	NULL	A passenger with the most inconvenient baggage: Enemies.	Leonardo Calamati
Reach for the Stars	beowulf	01007.png	Adventure Card	Transport	2	NULL	NULL	NULL	I just always wanted to see what's up there.	Leonardo Calamati
Refugee Resettlement	beowulf	01008.png	Adventure Card	"Government, Treatment"	2	NULL	NULL	NULL	Migrants escaping ecological collapse.	Leonardo Calamati
Scheduled Shipment	beowulf	01009.png	Adventure Card	Milk Run	2	NULL	NULL	NULL	Like Clockwork	Leonardo Calamati
Smuggler's Run	beowulf	01010.png	Adventure Card	"Legal, Unsavory"	3	NULL	NULL	NULL	Let's just say we'd like to avoid any Imperial entanglements.	Leonardo Calamati
Trans-Shipping	beowulf	01011.png	Adventure Card	"Government, Freight"	3	NULL	NULL	NULL	Transferring cargo between ships to avoid tariff's.	Leonardo Calamati
Witness Relocation	beowulf	01012.png	Adventure Card	"Government, Priority, Unsavory"	3	NULL	NULL	NULL	"Hello, Mr. Thompson."	Leonardo Calamati
Zhondani Science Expedition	beowulf	01013.png	Adventure Card	"Exotic, Professional, Zhondani"	4	NULL	NULL	NULL	A deputation of Zhondani academics studying in the Imperium.	Leonardo Calamati
"Advanced Solutions, Inc."	beowulf	01014.png	Connection	"Corporate, Resourceful"	NULL	0	2	"[Reaction]:[Exert]: When you draw from an Adventure Deck, draw 2 additional cards. Choose one, and return the others to the bottom of that deck in any order."	We can solve anything.	Nicholas Lim
"Class X, Startown Bar"	beowulf	01015.png	Connection	"Exotic, Unsavory"	NULL	1	1	"<strong>Procurement Phase</strong> \n [Exert],[2]: Search your deck for an <strong><em>Unsavory</em></strong> card and move it to your hand."	Every Starport has its dive bar.	Andreas Rocha
Crazy Eddy's Discount Depot	beowulf	01016.png	Connection	"Salvage, Unsavory"	NULL	1	1	[Reaction]-[Exert]: Reduce the cost of an [Upgrade] by [2].	Nothing crazier than my prices. Except maybe some of my customers!	Tan Ho Sim
"Finch & Cho, CPAs"	beowulf	01017.png	Connection	Professional	NULL	0	1	"After you gain [VictoryPoint], add Bookkeeping counter to this card. \n [Exert]: Only usable after an opponent gains [VictoryPoint]. Add a Bookkeeping counter to this card. \n [Reaction]-[Exert]: Spend Bookkeeping counters as [Expense]."	Accounting as adventurous as our clients.	Andreas Rocha
Free Trader Network	beowulf	01018.png	Connection	"Mercantile, Mercenary"	NULL	1	1	"<strong>Resource Phase</strong> \n [Exert],[1]: Add a Basic Capability token to this card. You may only spend Capability tokens from this card to resolve [Complications]. At the end of the round, remove all tokens from this card."	NULL	Alexandra Vardanian
"Llaegzko's ""Surplus"" Outlet"	beowulf	01019.png	Connection	"Mercantile, Salvage, Unsavory"	NULL	1	1	"<strong>Procurement Phase</strong>  \n [Exert],[1]: Search your deck for a [Gear] or [Upgrade] and move that card to your hand."	Anything with blood still on it is ten-percent off!	Matt Haley
Buddy	beowulf	01020.png	Crew	"Imperial, Altruistic, Gearhead"	NULL	1	2	<strong>Action Phase</strong> \n  [Action]-[Exert]: Restore all [Structure] from target [Upgrade] attached to your ship.	I think I got it this time.	Nikita Nanako
Deshaun Jasso	beowulf	01021.png	Crew	"Imperial, Unsavory"	NULL	2	1	[Exert]: Look at the top card of target Adventure Deck. You may move that card to the bottom of the Adventure Deck.	Live on the space lanes is popular with psions evading persecution.	Matt Haley
Ganidiirsi Dirgushii	beowulf	01022.png	Crew	"Imperial, Vilani, Noble"	NULL	2	1	"[Exert],[2]: Remove an [Admin] token from target Captain's Resource Pool."	I shall think on it.	Chong Chee Kong
George Zamepiimaakha	beowulf	01023.png	Crew	"Imperial, Professional"	NULL	2	1	<strong>Action Phase</strong> \n [Action]-[1]: Gain [Trained:Admin] until end of round. \n [Action]-[1]: Gain [Trained:Tech] until end of round.	NULL	LEG
Jim Thorne	beowulf	01024.png	Crew	"Imperial, Mercenary, Scoundrel"	NULL	2	1	"<strong>Action Phase</strong> \n  [Action]-[Exert],[1]: [Attack] +1 or [Defense] +2 until end of round. \n <strong>Resolution Phase</strong> \n [Reaction]-[Exert], [2]: [Attack]  +1 or [Defense] +2 until end of round."	I'm the danger zone!	Maik Belersdorf
Rika Honami	beowulf	01025.png	Crew	"Imperial, Amiable"	NULL	2	1	<strong>Action Phase</strong> \n [Action][Limited]-[1]: [Exert] target [Crew].	Your play.	Nichole Balsley
Siobhan El-Amin	beowulf	01026.png	Crew	"Imperial, Unsavory"	NULL	1	1	<strong>Adventure Phase</strong> \n [Limited]-[2]: Look at an unrevealed [Complication] attached to any [Contract].	NULL	David Ogitvie
Zett Usraich	beowulf	01027.png	Crew	"Imperial, Professional"	NULL	2	1	<strong>Action Phase</strong> \n [Action]-[Exert]: Restore all [Wound] to target [Crew]	Next time bring me a challenging injury.	Jazz Sly
Bwap Advisors	beowulf	01028.png	Event	"Extravagant, Professional"	NULL	2	1	Add any one Basic Capability token to your Resource Pool.	The Bwap are famed for organizational talents.	Jazz Sly
Consultant Call	beowulf	01029.png	Event	Professional	NULL	2	1	Add any one Trained Skill token to your Resource Pool.	Thank you for calling technical support. Please press one to continue in Galangic.	Nicholas Lim
Extrapolated Readings	beowulf	01030.png	Event	"Sensors, Space"	NULL	2	1	Remove from play target [LinkOpen] [Complication][Survey]  [LinkClosed]	NULL	Temarius Walker
Glancing Shot	beowulf	01031.png	Event	"Space, Warfare"	NULL	0	1	"[Defense] +2 until end of action. If you control a [LinkOpen] [Crew][StarshipOperation] [LinkClosed], gain [Defense] +3 instead. \n If, as the defender, you receive 0 damage this round, <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish</a></u></strong> this card."	NULL	Matt Haley
Negotiated Non-aggression	beowulf	01032.png	Event	Warfare	NULL	2	1	Remove from play target [LinkOpen] [Complication][Military] [LinkClosed]	"In certain circumstances, de-escalation is the better part of valor."	Temarius Walker
Time is Money	beowulf	01033.png	Event	"Priority, Resourceful"	NULL	0	3	[Initiative] +3 or [Initiative] -3 to target [Ship] until the end of round.	I haven't got all day!	David Fernandez
Armed Gig	beowulf	01034.png	Gear	Space	NULL	1	2	"<strong>Action Phase</strong> \n [Use], [1]: [Attack] +1 until end of round."	Even the most modest of craft becomes a little more assertive with the addition of a laser turret.	Matt Haley
Body Pistol	beowulf	01035.png	Gear	"Ballistic, Unsavory"	NULL	2	1	Attached [Crew] gains [Trained:Combat].  \n <strong>Action Phase</strong> \n [Use]: inflict 1 [Wound] on target [Crew].	Advanced polymers and ceramic rounds render Talon invisible to conventional detection.	Sarut Sathipiyarat
Fragmentation Grenade	beowulf	01036.png	Gear	Mil-Grade	NULL	2	1	"<strong>Action Phase</strong> \n [Use], Jettison: Inflict 2 [Wound] on up to 2 different [Crew] controlled by the same Captain."	Fire in the hole!	Tan Ho Sim
Panacea Autoinjector	beowulf	01037.png	Gear	"Chemical, Treatment"	NULL	0	2	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n [Reaction]-Jettison: Remove 2 [Wound] from attached [Crew]. \n <strong>Action Phase</strong> \n [Use]-Jettison: Remove 2 [Wound] from target [Crew]."	NULL	Tan Ho Sim
Lost and Found	beowulf	01038.png	Heroic Action	"Salvage, Unsavory"	NULL	0	2	<strong>Action Phase</strong> \n [Trained:Underworld] [Action] - [Exert]: Jettison target [Gear]. \n [Expert:Underworld] [Action] - [Exert]: Attached target [Gear] card to this [Crew].	People can be so careless with their belongings.	Dmitry Derzhavin
Personal Intervention	beowulf	01039.png	Heroic Action	"Government, Knight, Noble"	NULL	0	2	<strong>Action Phase</strong> \n [Trained:Admin] [Action]-[Exert]: Jettison this [Crew] to resolve target [Complication]. \n  [Expert:Admin] [Action]-[Exert]: Return this [Crew] to hand to resolve target [Complication].	"The Imperium is a government of men, not laws."	Matt Haley
Reap the Whirlwind	beowulf	01040.png	Heroic Action	Space	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:StarshipOperation] [Action]-[Exert]: [Attack] +1, [Defense] +3 until end of round. \n  [Expert:StarshipOperation] [Action]-[Exert]: Resolve target <strong><em>Space</em></strong> [Complication]."	I saw the whirlwind!	Jin Kim
Remember That Time...	beowulf	01041.png	Heroic Action	Amiable	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Social] [Action]-[Exert]: Target a [Crew] in play and choose one of its Skills. Add the chosen Skill's token to your Resource Pool. \n [Expert:Social] [Action]-[Exert]: As above, then suppress the target's chosen Skill until end of round."	NULL	Matt Haley
Surgical intervention	beowulf	01042.png	Heroic Action	"Altruistic, Treatment"	NULL	0	2	"<strong>Action Phase</strong> \n  [Trained:Medical] [Action]-[Exert]: Restore up to 3 [Wound] to any combination of target [Crew]. \n [Expert:Medical] [Action]-[Exert]: Move target [Crew] from your discard pile to your hand or into play, paying cost as normal."	NULL	Maik Belersdorf
Ablative Armor	beowulf	01043.png	Ship Upgrade	"Primitive, Salvage"	NULL	0	2	[Reaction]-Jettison: [Defense] +3 until end of round.	"Surplus plating bolted to the hull. Simple, but effective."	Nick Egberts
LSP Multi-Phased Array	beowulf	01044.png	Ship Upgrade	"Mil-Grade, Sensors"	NULL	2	1	"<strong>Resource Phase</strong> \n  [Exert],[2]: Add a [Military/Survey] token to your Resource Pool. \n  <strong>Resolution Phase</strong> \n [Exert],[3] Add a [Military/Survey] token to your Resource Pool."	an advanced sensor suite often re-purposed by merc units for military tracking.	Nicholas Lim
Luxury Suite	beowulf	01045.png	Ship Upgrade	Extravagant	NULL	1	1	"<strong>Resolution Phase</strong> \n [Exert],[2]: Gain 1 [VictoryPoint] after you resolve a [Subplot]on a [LinkOpen] [Contract][Passenger] [LinkClosed]."	See the stars in style.	Maik Belersdorf
Missile Barbette	beowulf	01046.png	Ship Upgrade	Missile	NULL	0	1	"[Reaction]-[Exert],[2]: [Attack] +3 until end of round."	NULL	Jin Kim
Modular Hold	beowulf	01047.png	Ship Upgrade	Mercantile	NULL	2	1	"<strong>Resource Phase</strong> \n [Exert],[2]: Add a [Cargo/Passenger] token to your Resource Pool."	Customizable layouts maximizing efficiency.	Nicholas Lim
Narda Systems 150-MJ Laser	beowulf	01048.png	Ship Upgrade	Laser	NULL	1	1	[Attack] +1 unless exerted.	Rigorous design ensure reliability.	Nicholas Lim
Empress Marava Far Trader	empress	03001.png	Ship Type	"Imperial, Mercantile"	NULL	NULL	NULL	Resource Phase \n [Exert]: Spend 3 Resource tokens to add any 1 Resource token to your Resource Pool.	NULL	magmagmag
Calibrated Electronics Delivery	empress	03002.png	Adventure Card	"Gearhead, Professional"	3	NULL	NULL	NULL	Contents must remain shielded from external interference.	Leonardo Calamati
Chartered Psionic Research	empress	03003.png	Adventure Card	"Exotic, Unsavory"	2	NULL	NULL	NULL	"Despite legal suppression, psionic research continues."	Leonardo Calamati
Corporate Contraband	empress	03004.png	Adventure Card	"Corporate, Hortalez et Cie, Unsavory"	4	NULL	NULL	NULL	Stealing prototypes is a common form of industrial espionage.	Leonardo Calamati
Employee Relocation	empress	03005.png	Adventure Card	"Corporate, Transport"	3	NULL	NULL	NULL	Companies will pay to move the right employee.	Leonardo Calamati
Foreign Luxuries	empress	03006.png	Adventure Card	"Extravagant, Mercantile, Noble"	2	NULL	NULL	NULL	Speculative venture into foreign luxury goods.	Leonardo Calamati
Home One Last Time	empress	03007.png	Adventure Card	"Mercantile, Space"	4	NULL	NULL	NULL	A dying man longs to see home once more before the end.	Leonardo Calamati
In the Presence of Mine Enemies	empress	03008.png	Adventure Card	"Mercenary, Veteran"	4	NULL	NULL	NULL	I want to be there when you pull the trigger.	Leonardo Calamati
Monster for the Menagerie	empress	03009.png	Adventure Card	"Extravagant, Noble"	4	NULL	NULL	NULL	Trappers bringing a fierce predator destined for a noble's estate.	Leonardo Calamati
Showing the Flag	empress	03010.png	Adventure Card	"Government, Corporate, Noble"	3	NULL	NULL	NULL	Patrols are common tool to assert jurisdictional claims.	Leonardo Calamati
TAS Inspection	empress	03011.png	Adventure Card	"Corporate, Professional, TAS"	4	NULL	NULL	NULL	Investigating Highports for the Traveller's Aid Society.	Leonardo Calamati
"Aunt Crow, Bartender"	empress	03012.png	Connection	"Amiable, Mercenary"	NULL	0	1	"[Exert]: Move up to two cards from your hand to the bottom of your deck, then draw that many cards."	Aunt Crow don't give a damn 'bout your problems.	Nick Avallone
Desert Trade Station	empress	03013.png	Connection	"Mercantile, Salvage"	NULL	1	1	"<strong>Procurement Phase</strong> \n [Exert], Jettison [Gear] or [Upgrade]: Reduce the cost of the next card you procure by the [Expense] of the jettisoned card."	NULL	Michael Rookard
Baronet Cronin	empress	03014.png	Crew	"Imperial, Noble"	NULL	2	1	"<strong>Action Phase</strong> \n [Action]-[Exert]: Target [Crew] gains <strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to crew abilities</u></strong> until end of round."	"Though rare, there are a few nobles who prefer life on the edges."	Nichole Balsley
Doctor Wishik	empress	03015.png	Crew	"Imperial, Altruistic, Professional"	NULL	3	1	"<strong>Action Phase</strong> \n [Action]-[Exert]: choose a trait. All [Crew] with the chosen trait restore 1 [Wound]. \n [Action]-[Exert]: Inflict 1 [Wound] on target [Crew]. if the target lacks <strong><em>Unsavory</em></strong>, Doctor Wishik does not [Ready] during the next Ready Phase."	NULL	Sarut Sathipiyarat
Dwight Cain	empress	03016.png	Crew	"Imperial, Spiritual"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to opponent's crew abilities.</u></strong>"	"Scion of a Navy family, called to other service ..."	Alexandra Vardanian
Mark Appleton	empress	03017.png	Crew	"Imperial, Amiable"	NULL	0	1	"If Mark is ready, you may jettison him for 3 [Expense]. \n <strong>Action Phase</strong> \n [Action]-[Exert], [2]: Gain [Trained:Jack] until end of round. \n [Action] - [2]: Gain [Expert:Social] or [Expert:Underworld] until end of turn."	I have a plan.	Tan Ho Sim
Marta Rodriguez	empress	03018.png	Crew	"Imperial, Veteran"	NULL	2	1	"[Initiative] +1 \n While your [Ship] has less than 2 [Upgrade], [Initiative] +2."	Ships and men are both best lean and mean.	Annika Maar
"Prof. Isaacs, Cyberneticist"	empress	03019.png	Crew	"Cybernetics, Gearhead, Unsavory"	NULL	2	1	<strong><em>Cybernetics</em></strong> [Gear] you procure cost [1] less.	Machines have so much to teach us.	Nakarin Sukontankorn
Lt. Cmdr Sir Sandar Van Othlezee	empress	03020.png	Crew	"Imperial, Knight, Veteran"	NULL	3	1	"After Sandar performs a [LinkOpen] [Heroic][Tech] [LinkClosed] \n <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish 1</a></u></strong> \n <strong>Action Phase</strong> \n [Action] - [3]: [Trained:Jack] until end of round."	"Lt. Cmdr, IN(ret)."	Matt Haley
Sir Cynewulf Jauregg	empress	03021.png	Crew	"Imperial, Knight, Veteran"	NULL	3	1	"Whenever one of your other [Crew] attempts a [Heroic], you may <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish 1</a></u></strong>. \n <strong>Action Phase</strong> \n [Action]-[1]: Gain [Trained:Combat] until end of round."	NULL	Tan Ho Sim
Ta'Nal of Adari	empress	03022.png	Crew	"Altruistic, Primitive"	NULL	0	1	"<strong>Ready Phase</strong> \n At the start of the phase, each [Crew] restores 1 [Wound]."	"If you quest for solace, study the runes."	Nikita Nanako
Thulse	empress	03023.png	Crew	"Imperial, Primitive"	NULL	1	1	"<strong><u><a href=""../rulesreference#KW_Resilient"">Resilient</a></u></strong> \n Thulse cannot [Use] any [Gear] lacking Primitive."	NULL	Nakarin Sukontankorn
Cold Engines	empress	03024.png	Event	"Maintenance, Maneuver Drive"	NULL	0	3	<strong>Adventure Phase</strong> \n Target a [Ship] and set its printed [Initiative] to 0 until end of round. You may pay [1] to jettison a <strong><em>Maneuver Drive</em></strong> [Upgrade] attached to the target.	NULL	Paolo Puggioni
Crash Course	empress	03025.png	Event	Resourceful	NULL	0	1	Target a [Crew] and choose a Skill. Target [Crew] gains one level of the chosen Skill until end of phase.	NULL	Nikita Nanako
Data Mining Consultant	empress	03026.png	Event	"Corporate, Professional"	NULL	3	1	Add any one Expert Skill token to your Resource Pool.	You couldn't afford me full time.	Vadim Marchenkov
Misdirection	empress	03027.png	Event	Priority	NULL	1	2	<strong>Resolution Phase</strong> \n [Action] - Target two [Contract] in play. Move one [Complication] from each [Contract] to the other [Contract].	They went that way!	Annika Maar
Strategic Serenity	empress	03028.png	Event	"Sensors, Veteran, Warfare"	NULL	0	2	"<strong>Resolution Phase</strong> \n [Defense] +1 until end of round. If you have more cards in hand than target opponent after playing this card, you gain [Attack] +2 against that opponent until end of round."	NULL	Alexandra Vardanian
Unearth	empress	03029.png	Event	Exploration	NULL	0	1	Draw 3 cards. All opponents draw 1 card.	Discovering secrets of a long dead civilization.	Julijana Mijallovic
"Babel, TL-11 Translator"	empress	03030.png	Gear	"Amiable, Exploration"	NULL	1	1	"Attached [Crew] gains [Trained:Social]. \n <strong>Action Phase</strong> \n [Use], Jettison: Resolve target [LinkOpen] [Complication][Social] [LinkClosed]."	"Though bulkier than newer models, the Babel's reliability and affordability ensure its survival."	Rodolfo Hernandez
Engineering Kit	empress	03031.png	Gear	"Gearhead, Maintenance"	NULL	1	1	"Attached [Crew] gains [Trained:Tech]. \n <strong>Action Phase</strong> \n [Use], Jettison: Return target [Upgrade] to owner's hand."	NULL	Tan Ho Sim
Med Kit	empress	03032.png	Gear	"Professional, Treatment"	NULL	1	1	Attached [Crew] gains [Trained:Medical] \n <strong>Action Phase</strong> \n [Use]: Restore 1 [Wound] to target [Crew].	NULL	Nikita Nanako
Neural Gun	empress	03033.png	Gear	"Exotic, Mil-Grade, Unsavory"	NULL	4	0	"<strong>Action Phase</strong> \n [Use],[1]: Target [Crew] and suppress its skills and text box until end of round, and [Exert] the target, if able."	A weapon as loathsome as it is effective.	Nagy Norbert
Xenopoison	empress	03034.png	Gear	"Chemical, Unsavory"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> \n When attached, [Exert] attached [Crew]. \n <strong>Ready Phase</strong> \n Inflict 1 [Wound] on attached [Crew] at the beginning of the phase. <strong><u><a href=""../rulesreference#KW_Armor"">Armor</a></u></strong> cannot reduce [Wound] inflicted by this card."	NULL	Alexandra Vardanian
Breakthrough	empress	03035.png	Heroic Action	Professional	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Science] [Action]-[Exert]: Search your deck for a card. Set the chosen card aside, shuffle your deck, and put the chosen card on top of your deck. \n [Expert:Science] [Action] - [Exert]: As above, but move the card to your hand instead."	NULL	Alexandra Vardanian
Dance Among the Heavens	empress	03036.png	Heroic Action	"Maneuver Drive, Space, Warfare"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:StarshipOperation] [Action] - [Exert]: Attach this card to your [Ship] as a <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> [LinkOpen] [Upgrade][Internal] [LinkClosed] with 1 [Structure] that provides [Initiative] +2. \n [Expert:StarshipOperation] [Action] - [Exert]: As above, then all opponents with lower [Initiative] discard 2 cards from hand."	NULL	Tan Ho Sim
Kitbash	empress	03037.png	Heroic Action	"Gearhead, Resourceful, Salvage"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Tech] [Action] - [Exert]: Jettison target [Upgrade] attached to your [Ship], then add up to 2 different basic Capability tokens to your Resource Pool. \n [Expert:Tech] [Action] - [Exert]: As above, but, instead of jettisoning the [Upgrade], return it to hand."	NULL	Tan Ho Sim
Opportune Alliances	empress	03038.png	Heroic Action	Resourceful	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Social] [Action] - [Exert]: Procure from your hand a [Connection] or [Crew] without paying the cost. It gains <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> until end of round. \n [Expert:Social] [Action] - [Exert]: You may procure a [Connection] or [Crew] from your discard pile, paying the card's cost. It gains <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> until end of round."	NULL	Sarut Sathipiyarat
Psychic Theft	empress	03039.png	Heroic Action	"Exotic, Unsavory"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Psionic] [Action] - [Exert]: All tokens provided by target [Crew] are added to your Resource Pool instead until end of round. \n [Expert:Psionic] [Action] - [Exert]: As above, and [Exert] the target. The target does not [Ready] as normal during the next Ready Phase."	NULL	Alexandra Vardanian
